date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:16	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://live-tvs.shop/)
18:21:21	264447/264447	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.6.2	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons2cbf.svg	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.6.2)
18:21:21	194066/194066	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.12.0)
18:21:22	6890/6890	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2000:23:21%20GMT	https://live-tvs.shop/wp-content/plugins/wpt-whatsapp/assets/images/logo-green-small.png	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/wpt-whatsapp/assets/images/logo-green-small.png	(from https://live-tvs.shop/wp-content/plugins/wpt-whatsapp/assets/css/public.css?ver=2.2.5)
18:21:25	76084/76084	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.12.0)
18:21:26	2635/2635	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=2.9.8	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/share-link/share-link.min4315.js	(from https://live-tvs.shop/)
18:21:27	98996/98996	---M--	200	added ('OK')	font/woff	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.12.0)
18:21:28	194066/194066	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot?	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900d41d.eot	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.12.0)
18:21:29	34390/34390	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.12.0)
18:21:30	34390/34390	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot?	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400d41d.eot	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.12.0)
18:21:30	193780/193780	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.ttf	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.ttf	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.12.0)
